"","logit","probit","cauchit","cloglog"
"Per",0.396583253339662,0.398204448150085,0.413642625763237,0.400273319897491
"Lambda",0.00464192042772823,0.00980992518855638,0.00211664286336676,0.00656576187979642
"Alpha",1,1,1,0.729
